# Kandidaatide valituks saamise tõenäosused 19. veebruaril
# -- lähtume ERRis avaldatud ringkondlikest toetusnumbritest
# Mitte meelt heita -- see on simulatsioon, mille aluseks on
# mõnedki puudulikud eeldused.
#
# Algoritmi järjekindel mandaatide jaotus erakondade kaupa näeb välja järgmine:
#   ISAMAA Erakond=7,
#   Eesti Konservatiivne Rahvaerakond=20
#   Eesti Reformierakond=38
#   Eesti Keskerakond=16
#   Erakond Eesti 200=12
#   Sotsiaaldemokraatlik Erakond=8}
#
# Selle jaotusega võrreldes on alltoodud nimistus Reformierakond esimese 101
# seas 2 kohaga ülesindatud ning E200 ja Isamaa 1 kohaga alaesindatud.
#######################################################################################

     43 Kandidaat(nimi=ANDRUS SEEME, erakond=Eesti Reformierakond, valimisringkond=11
     38 Kandidaat(nimi=MAIDO RUUSMANN, erakond=Eesti Reformierakond, valimisringkond=11
     37 Kandidaat(nimi=MERRY AART, erakond=Eesti Konservatiivne Rahvaerakond, valimisringkond=11
     36 Kandidaat(nimi=ALAR LANEMAN, erakond=Eesti Konservatiivne Rahvaerakond, valimisringkond=12
     35 Kandidaat(nimi=JÜRI JAANSON, erakond=Eesti Reformierakond, valimisringkond=12
     34 Kandidaat(nimi=MATI RAIDMA, erakond=Eesti Reformierakond, valimisringkond=1
     --101--------------------------------------------------------------------------------------
     34 Kandidaat(nimi=MARIA JUFEREVA-SKURATOVSKI, erakond=Eesti Keskerakond, valimisringkond=2
     32 Kandidaat(nimi=MÄRT MEESAK, erakond=Erakond Eesti 200, valimisringkond=9
     32 Kandidaat(nimi=JAAK JUSKE, erakond=Sotsiaaldemokraatlik Erakond, valimisringkond=1
     31 Kandidaat(nimi=TANEL TEIN, erakond=Erakond Eesti 200, valimisringkond=10
     31 Kandidaat(nimi=RIHO BREIVEL, erakond=Eesti Konservatiivne Rahvaerakond, valimisringkond=7
     31 Kandidaat(nimi=MIHHAIL LOTMAN, erakond=ISAMAA Erakond, valimisringkond=10
     31 Kandidaat(nimi=MERLE PUSSAK, erakond=Eesti Reformierakond, valimisringkond=4
     31 Kandidaat(nimi=LIISA-LY PAKOSTA, erakond=Erakond Eesti 200, valimisringkond=2
     31 Kandidaat(nimi=IGOR SCHVEDE, erakond=Eesti Reformierakond, valimisringkond=3
     -----------------------------------------------------------------------------------------
     30 Kandidaat(nimi=TARMO TAMM, erakond=Eesti Keskerakond, valimisringkond=11
     30 Kandidaat(nimi=MARTI KUUSIK, erakond=Eesti Konservatiivne Rahvaerakond, valimisringkond=6
     30 Kandidaat(nimi=INDREK KESKÜLA, erakond=Eesti Reformierakond, valimisringkond=6
     30 Kandidaat(nimi=AIVAR VIIDIK, erakond=Eesti Reformierakond, valimisringkond=5
